DeviceID,Hostname,IP,Location,Status,Vendor,Model,LastSeen
SW001,server001,10.10.1.1,Bengaluru,Online,Cisco,C9300,2026-09-22
SW002,server002,10.10.1.2,Hyderabad,Offline,Juniper,EX4300,2026-09-22
SW003,server003,10.10.1.3,Chennai,Warning,Aruba,2930F,2026-09-22
SW004,server004,10.10.1.4,Pune,Online,Cisco,C9400,2026-09-22
SW005,server005,10.10.1.5,Mumbai,Online,Cisco,C9300,2026-09-22
SW006,server006,10.10.1.6,Bengaluru,Offline,Juniper,EX4300,2026-09-22
SW007,server007,10.10.1.7,Hyderabad,Online,Aruba,2930F,2026-09-22
SW008,server008,10.10.1.8,Chennai,Warning,Cisco,C9400,2026-09-22
SW009,server009,10.10.1.9,Pune,Online,Cisco,C9300,2026-09-22
SW010,server010,10.10.1.10,Mumbai,Offline,Juniper,EX4300,2026-09-22
SW011,server011,10.10.1.11,Bengaluru,Online,Aruba,2930F,2026-09-22
SW012,server012,10.10.1.12,Hyderabad,Warning,Cisco,C9400,2026-09-22
SW013,server013,10.10.1.13,Chennai,Online,Cisco,C9300,2026-09-22
SW014,server014,10.10.1.14,Pune,Offline,Juniper,EX4300,2026-09-22
SW015,server015,10.10.1.15,Mumbai,Online,Aruba,2930F,2026-09-22
SW016,server016,10.10.1.16,Bengaluru,Warning,Cisco,C9400,2026-09-22
SW017,server017,10.10.1.17,Hyderabad,Online,Cisco,C9300,2026-09-22
SW018,server018,10.10.1.18,Chennai,Offline,Juniper,EX4300,2026-09-22
SW019,server019,10.10.1.19,Pune,Online,Aruba,2930F,2026-09-22
SW020,server020,10.10.1.20,Mumbai,Warning,Cisco,C9400,2026-09-22
SW021,server021,10.10.1.21,Bengaluru,Online,Cisco,C9300,2026-09-22
SW022,server022,10.10.1.22,Hyderabad,Offline,Juniper,EX4300,2026-09-22
SW023,server023,10.10.1.23,Chennai,Online,Aruba,2930F,2026-09-22
SW024,server024,10.10.1.24,Pune,Warning,Cisco,C9400,2026-09-22
SW025,server025,10.10.1.25,Mumbai,Online,Cisco,C9300,2026-09-22
SW026,server026,10.10.1.26,Bengaluru,Offline,Juniper,EX4300,2026-09-22
SW027,server027,10.10.1.27,Hyderabad,Online,Aruba,2930F,2026-09-22
SW028,server028,10.10.1.28,Chennai,Warning,Cisco,C9400,2026-09-22
SW029,server029,10.10.1.29,Pune,Online,Cisco,C9300,2026-09-22
SW030,server030,10.10.1.30,Mumbai,Offline,Juniper,EX4300,2026-09-22
SW031,server031,10.10.1.31,Bengaluru,Online,Aruba,2930F,2026-09-22
SW032,server032,10.10.1.32,Hyderabad,Warning,Cisco,C9400,2026-09-22
SW033,server033,10.10.1.33,Chennai,Online,Cisco,C9300,2026-09-22
SW034,server034,10.10.1.34,Pune,Offline,Juniper,EX4300,2026-09-22
SW035,server035,10.10.1.35,Mumbai,Online,Aruba,2930F,2026-09-22
SW036,server036,10.10.1.36,Bengaluru,Warning,Cisco,C9400,2026-09-22
SW037,server037,10.10.1.37,Hyderabad,Online,Cisco,C9300,2026-09-22
SW038,server038,10.10.1.38,Chennai,Offline,Juniper,EX4300,2026-09-22
SW039,server039,10.10.1.39,Pune,Online,Aruba,2930F,2026-09-22
SW040,server040,10.10.1.40,Mumbai,Warning,Cisco,C9400,2026-09-22
SW041,server041,10.10.1.41,Bengaluru,Online,Cisco,C9300,2026-09-22
SW042,server042,10.10.1.42,Hyderabad,Offline,Juniper,EX4300,2026-09-22
SW043,server043,10.10.1.43,Chennai,Online,Aruba,2930F,2026-09-22
SW044,server044,10.10.1.44,Pune,Warning,Cisco,C9400,2026-09-22
SW045,server045,10.10.1.45,Mumbai,Online,Cisco,C9300,2026-09-22
SW046,server046,10.10.1.46,Bengaluru,Offline,Juniper,EX4300,2026-09-22
SW047,server047,10.10.1.47,Hyderabad,Online,Aruba,2930F,2026-09-22
SW048,server048,10.10.1.48,Chennai,Warning,Cisco,C9400,2026-09-22
SW049,server049,10.10.1.49,Pune,Online,Cisco,C9300,2026-09-22
SW050,server050,10.10.1.50,Mumbai,Offline,Juniper,EX4300,2026-09-22
