BackupID,ServerName,BackupStatus,BackupSizeGB,LastBackup,RestorePoint
VB001,app-server-001,Success,120,2026-09-22,15
VB002,app-server-002,Failed,150,2026-09-22,12
VB003,app-server-003,Warning,95,2026-09-22,20
VB004,app-server-004,Success,180,2026-09-22,10
VB005,app-server-005,Success,210,2026-09-22,25
VB006,app-server-006,Failed,75,2026-09-22,18
VB007,app-server-007,Success,320,2026-09-22,8
VB008,app-server-008,Warning,140,2026-09-22,22
VB009,app-server-009,Success,260,2026-09-22,14
VB010,app-server-010,Success,185,2026-09-22,17
VB011,app-server-011,Failed,90,2026-09-22,11
VB012,app-server-012,Success,130,2026-09-22,16
VB013,app-server-013,Warning,275,2026-09-22,19
VB014,app-server-014,Success,340,2026-09-22,24
VB015,app-server-015,Success,410,2026-09-22,9
VB016,app-server-016,Failed,220,2026-09-22,13
VB017,app-server-017,Success,160,2026-09-22,21
VB018,app-server-018,Warning,190,2026-09-22,18
VB019,app-server-019,Success,280,2026-09-22,14
VB020,app-server-020,Success,350,2026-09-22,26
VB021,app-server-021,Failed,145,2026-09-22,10
VB022,app-server-022,Success,165,2026-09-22,15
VB023,app-server-023,Warning,235,2026-09-22,20
VB024,app-server-024,Success,260,2026-09-22,28
VB025,app-server-025,Success,310,2026-09-22,12
VB026,app-server-026,Failed,110,2026-09-22,16
VB027,app-server-027,Success,205,2026-09-22,17
VB028,app-server-028,Warning,175,2026-09-22,11
VB029,app-server-029,Success,195,2026-09-22,13
VB030,app-server-030,Success,225,2026-09-22,22
VB031,app-server-031,Failed,275,2026-09-22,19
VB032,app-server-032,Success,300,2026-09-22,24
VB033,app-server-033,Warning,155,2026-09-22,15
VB034,app-server-034,Success,215,2026-09-22,21
VB035,app-server-035,Success,245,2026-09-22,18
VB036,app-server-036,Failed,285,2026-09-22,14
VB037,app-server-037,Success,190,2026-09-22,20
VB038,app-server-038,Warning,175,2026-09-22,16
VB039,app-server-039,Success,135,2026-09-22,12
VB040,app-server-040,Success,365,2026-09-22,27
VB041,app-server-041,Failed,210,2026-09-22,11
VB042,app-server-042,Success,250,2026-09-22,19
VB043,app-server-043,Warning,295,2026-09-22,23
VB044,app-server-044,Success,330,2026-09-22,25
VB045,app-server-045,Success,175,2026-09-22,13
VB046,app-server-046,Failed,145,2026-09-22,17
VB047,app-server-047,Success,225,2026-09-22,15
VB048,app-server-048,Warning,260,2026-09-22,21
VB049,app-server-049,Success,290,2026-09-22,18
VB050,app-server-050,Success,340,2026-09-22,24
